ComplexName	GO description	FunCat description	subunits(Gene name)
PA28-20S proteasome	protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus	protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus	PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSME1;PSMB7;PSME2;
PA700-20S-PA28 complex	proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;regulation by binding / dissociation;protease activator	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;regulation of binding;peptidase activator activity	PSMD11;PSMD12;PSMD9;PSMD14;PSMA7;PSMD3;PSMD10;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMD8;PSMB3;PSMB2;PSMD7;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSME1;PSMD2;PSMD6;PSMD5;PSMB7;PSMD1;PSME2;PSMD13;
PA28gamma-20S proteasome	protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus	protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus	PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSME3;PSMB7;
"Ubiquitin E3 ligase (Lrrc41, Tceb1, Tceb2, Cul5, Rbx1)"	"modification by ubiquitination, deubiquitination;nucleus"	protein ubiquitination;protein deubiquitination;nucleus	TCEB2;TCEB1;RBX1;LRRC41;CUL5;
"Ubiquitin E3 ligase (Vhl, Tceb1, Tceb2, Cul5, Rbx1)"	"modification by ubiquitination, deubiquitination"	protein ubiquitination;protein deubiquitination	TCEB2;TCEB1;RBX1;VHL;CUL5;
"Ubiquitin E3 ligase (Tceb1, Tceb2, Tceb3, Cul5, Rbx1)"	"modification by ubiquitination, deubiquitination"	protein ubiquitination;protein deubiquitination	TCEB2;TCEB1;RBX1;TCEB3;CUL5;
"Ubiquitin E3 ligase (Socs1, Tceb1, Tceb2, Cul5, Rbx1)"	"modification by ubiquitination, deubiquitination"	protein ubiquitination;protein deubiquitination	TCEB2;TCEB1;RBX1;CUL5;SOCS1;
"Ubiquitin E3 ligase (Wsb1, Tceb1, Tceb2, Cul5, Rbx1)"	"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;hedgehog-dependent signalling pathway;endoplasmic reticulum"	protein ubiquitination;protein deubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;smoothened signaling pathway;endoplasmic reticulum	TCEB2;TCEB1;RBX1;WSB1;CUL5;
HUIC complex	"cell cycle arrest;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);nucleus"	cell cycle arrest;cell cycle checkpoint;nucleus	BRCA1;BARD1;
BRCA1-RAD50-MRE11-NBS1 complex	DNA repair;DNA damage response;nucleus	DNA repair;cellular response to DNA damage stimulus;nucleus	NBN;BRCA1;MRE11A;RAD50;
"Ubiquitin E3 ligase (Med8, Tceb1, Tceb2, Cul2, Rbx1)"	"modification by ubiquitination, deubiquitination;protein binding;nucleus"	protein ubiquitination;protein deubiquitination;protein binding;nucleus	TCEB2;TCEB1;RBX1;CUL2;MED8;
"Ubiquitin E3 ligase (Asb2, Tceb1, Tceb2, Cul5, Rbx1)"	"modification by ubiquitination, deubiquitination;protein binding"	protein ubiquitination;protein deubiquitination;protein binding	TCEB2;TCEB1;RBX1;ASB2;CUL5;
"Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)"	"modification by ubiquitination, deubiquitination;protein binding"	protein ubiquitination;protein deubiquitination;protein binding	VHL;RBX1;CUL2;TCEB1;TCEB2;
DNA ligase IV-XRCC4 complex	DNA repair;somatic / mitotic recombination;DNA binding;chromosome	DNA repair;mitotic recombination;DNA binding;chromosome	LIG4;XRCC4;
"Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)"	"modification by ubiquitination, deubiquitination;protein binding"	protein ubiquitination;protein deubiquitination;protein binding	TCEB1;TCEB2;CUL5;ASB2;RNF7;
"Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)"	"modification by ubiquitination, deubiquitination;protein binding"	protein ubiquitination;protein deubiquitination;protein binding	TCEB1;TCEB2;CUL5;RNF7;ASB1;
"Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)"	"modification by ubiquitination, deubiquitination;protein binding"	protein ubiquitination;protein deubiquitination;protein binding	TCEB1;TCEB2;CUL5;ASB6;RNF7;
"Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)"	"modification by ubiquitination, deubiquitination;protein binding"	protein ubiquitination;protein deubiquitination;protein binding	TCEB1;TCEB2;CUL5;ASB7;RNF7;
"Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)"	"modification by ubiquitination, deubiquitination;protein binding"	protein ubiquitination;protein deubiquitination;protein binding	TCEB1;TCEB2;ASB12;CUL5;RNF7;
DNA ligase III-XRCC1 complex	DNA repair;nucleus	DNA repair;nucleus	XRCC1;LIG3;
DNA ligase IV-XRCC1 complex	DNA repair;nucleus	DNA repair;nucleus	XRCC1;LIG4;
"Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1)"	"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;hedgehog-dependent signalling pathway;endoplasmic reticulum"	protein ubiquitination;protein deubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;smoothened signaling pathway;endoplasmic reticulum	RBX1;TCEB1;TCEB2;CUL5;WSB1;
PDZK1-NaPiIIa-MAP17 complex	ion transport	ion transport	SLC34A1;PDZK1IP1;PDZK1;
CAND1-CUL1-RBX1 complex	protein binding;regulation by binding / dissociation;enzymatic activity regulation / enzyme regulator	protein binding;regulation of binding;enzyme regulator activity;regulation of catalytic activity	RBX1;CUL1;CAND1;
ARF-Mule complex	protein binding;nucleus	protein binding;nucleus	NPM1;HUWE1;CDKN2A;
CAND1-CUL2-RBX1 complex	protein binding;regulation by binding / dissociation;enzymatic activity regulation / enzyme regulator	protein binding;regulation of binding;protein binding;enzyme regulator activity;regulation of catalytic activity	RBX1;CUL2;CAND1;
CAND1-CUL3-RBX1 complex	protein binding;regulation by binding / dissociation;enzymatic activity regulation / enzyme regulator	protein binding;regulation of binding;protein binding;enzyme regulator activity;regulation of catalytic activity	RBX1;CUL3;CAND1;
CAND1-CUL4A-RBX1 complex	protein binding;regulation by binding / dissociation;enzymatic activity regulation / enzyme regulator	protein binding;regulation of binding;protein binding;enzyme regulator activity;regulation of catalytic activity	RBX1;CUL4A;CAND1;
CAND1-CUL4B-RBX1 complex	protein binding;regulation by binding / dissociation;enzymatic activity regulation / enzyme regulator	protein binding;regulation of binding;protein binding;enzyme regulator activity;regulation of catalytic activity	RBX1;CUL4B;CAND1;
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1)"	"modification by ubiquitination, deubiquitination;protein binding"	protein ubiquitination;protein deubiquitination;protein binding	SKP1;SKP2;CUL1;
"Ubiquitin E3 ligase (SKP1A, BTRC, CUL1)"	"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);protein binding"	protein ubiquitination;protein deubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding	SKP1;CUL1;BTRC;
NAT complex	transcription repression;protein binding;nucleus	"negative regulation of transcription, DNA-templated;protein binding;nucleus"	MED14;MED6;CCNC;CDK8;MED21;MED10;MED23;
HuCHRAC complex	DNA conformation modification (e.g. chromatin);protein binding;DNA binding;ATP binding;nucleus	DNA topological change;protein binding;DNA binding;ATP binding;nucleus	SMARCA5;POLE3;CHRAC1;BAZ1A;
WICH complex	DNA conformation modification (e.g. chromatin);protein binding;DNA binding;chromosome	DNA topological change;protein binding;DNA binding;chromosome	SMARCA5;BAZ1B;
Ags3-Lkb1-Gnai3 complex	G-protein coupled receptor signalling pathway	G-protein coupled receptor signaling pathway	GNAI3;GPSM1;
SWI-SNF chromatin remodeling-related-BRCA1 complex	DNA conformation modification (e.g. chromatin);transcriptional control;organization of chromosome structure;nucleus	"DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;chromosome organization;nucleus"	ARID1A;ACTL6A;BRCA1;SMARCA2;SMARCA4;SMARCB1;SMARCC2;SMARCC1;SMARCD2;SMARCE1;
Sin3-Hdac1-Sds3 complex	"DNA conformation modification (e.g. chromatin);transcription repression;RNA synthesis;modification by acetylation, deacetylation;organization of chromosome structure;nucleus"	"DNA topological change;negative regulation of transcription, DNA-templated;RNA biosynthetic process;protein acetylation;protein deacetylation;chromosome organization;nucleus"	HDAC1;SIN3B;SUDS3;
BRCA1-CTIP-ZBRK1 repressor complex	transcription repression;DNA binding;nucleus	"negative regulation of transcription, DNA-templated;DNA binding;nucleus"	BRCA1;RBBP8;ZNF350;
BRCA1-BACH1 complex	DNA repair;nucleus	DNA repair;nucleus	BRCA1;BRIP1;
RalBP1-CDC2-CCNB1 complex	"mitotic cell cycle;modification by phosphorylation, dephosphorylation, autophosphorylation;protein modification;REGULATION OF METABOLISM AND PROTEIN FUNCTION;nucleus"	mitotic cell cycle;protein phosphorylation;protein dephosphorylation;protein autophosphorylation;cellular protein modification process;regulation of biological process;nucleus	CDK1;CCNB1;RALBP1;
BLM complex III	organization of chromosome structure;DNA repair;DNA damage response;nucleus	chromosome organization;DNA repair;cellular response to DNA damage stimulus;nucleus	MLH1;BLM;TOP3A;RMI1;
RalBP1-CCNB1-AP2A-NUMB-EPN1 complex	mitotic cell cycle;endocytosis;nucleus	mitotic cell cycle;endocytosis;nucleus	AP2A1;CCNB1;NUMB;RALBP1;EPN1;
Caspase-2-TRAF2-RIP1 complex	MAPKKK cascade;NIK-I-kappaB/NF-kappaB cascade	MAPK cascade;I-kappaB kinase/NF-kappaB signaling	CASP2;TRAF2;RALBP1;
RAD51C-XRCC3 complex	phosphate metabolism;DNA repair;DNA recombination;DNA binding;ATP binding;DNA damage response;nucleus	phosphorus utilization;phosphate-containing compound metabolic process;DNA repair;DNA recombination;DNA recombination;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	RAD51C;XRCC3;
TBPIP/HOP2-MND1 complex	meiotic recombination;meiosis;nuclear division;chromosome segregation/division;DNA binding;regulation by binding / dissociation;protein binding;enzymatic activity regulation / enzyme regulator;nucleus	reciprocal meiotic recombination;meiotic nuclear division;nuclear division;chromosome segregation;DNA binding;regulation of binding;protein binding;enzyme regulator activity;regulation of catalytic activity;nucleus	MND1;PSMC3IP;
Hop2-Mnd1 complex	meiotic recombination;meiosis;nuclear division;chromosome segregation/division;DNA binding;enzymatic activity regulation / enzyme regulator;nucleus	reciprocal meiotic recombination;meiotic nuclear division;nuclear division;chromosome segregation;DNA binding;enzyme regulator activity;regulation of catalytic activity;nucleus	PSMC3IP;MND1;
RAD51B-RAD51C complex	DNA repair;DNA recombination;DNA binding;ATP binding;nucleus	DNA repair;DNA recombination;DNA binding;ATP binding;nucleus	RAD51B;RAD51C;
RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex	DNA repair;DNA recombination;DNA binding;ATP binding;DNA damage response;nucleus	DNA repair;DNA recombination;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	RAD51B;RAD51C;XRCC3;XRCC2;RAD51D;
RAD51L3-XRCC2 complex	DNA repair;DNA recombination;DNA binding;ATP binding;DNA damage response;nucleus	DNA repair;DNA recombination;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	XRCC2;RAD51D;
ATR-ATRIP complex	"cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA binding;DNA damage response;nucleus"	cell cycle checkpoint;DNA binding;cellular response to DNA damage stimulus;nucleus	ATR;ATRIP;
RAD17-RFC complex	"phosphate metabolism;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA binding;ATP binding;DNA damage response;nucleus"	phosphorus utilization;phosphate-containing compound metabolic process;cell cycle checkpoint;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	RAD17;RFC4;RFC2;RFC5;RFC3;
9-1-1 complex	"DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA damage response;nucleus"	DNA repair;cell cycle checkpoint;cellular response to DNA damage stimulus;nucleus	RAD1;HUS1;RAD9A;
9-1-1-RAD17-RFC complex	"cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA damage response;nucleus"	cell cycle checkpoint;cellular response to DNA damage stimulus;nucleus	RAD1;HUS1;RAD17;RFC4;RFC2;RFC5;RFC3;RAD9A;
Dysbindin-pallidin-muted-beta-dystrobrevin complex	vacuole or lysosome	lysosome organization;vacuole organization	DTNB;BLOC1S5;DTNBP1;BLOC1S6;
RFC complex	phosphate metabolism;DNA synthesis and replication;DNA binding;ATP binding;nucleus	phosphorus utilization;phosphate-containing compound metabolic process;DNA replication;DNA binding;ATP binding;nucleus	RFC4;RFC2;RFC1;RFC5;RFC3;
RFC core complex	phosphate metabolism;DNA synthesis and replication;DNA binding;ATP binding;nucleus	phosphorus utilization;phosphate-containing compound metabolic process;DNA replication;DNA binding;ATP binding;nucleus	RFC4;RFC2;RFC5;
HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	DNA repair;DNA binding;DNA damage response;nucleus	DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus	GAPDH;HMGB1;HSPA8;HMGB2;PDIA3;
NELF complex (Negative elongation factor complex)	transcription elongation;transcription repression;RNA binding;regulation by binding / dissociation;protein binding;regulator of transcription factor;nucleus	"DNA-templated transcription, elongation;negative regulation of transcription, DNA-templated;RNA binding;regulation of binding;protein binding;regulation of sequence-specific DNA binding transcription factor activity;nucleus"	NELFE;NELFCD;NELFB;NELFA;
SNF2h-cohesin-NuRD complex	DNA conformation modification (e.g. chromatin);DNA binding;organization of chromosome structure;chromosome	DNA topological change;DNA binding;chromosome organization;chromosome	RAD21;SMARCA5;MTA2;MBD3;RBBP4;CHD3;MTA1;HDAC1;SMC1A;RBBP7;STAG2;STAG1;HDAC2;BAZ1A;MBD2;SMC3;
PCNA-MLH1-PMS1 complex	DNA synthesis and replication;DNA repair;nucleus	DNA replication;DNA repair;nucleus	PCNA;MLH1;PMS1;
PCNA-MSH2-MSH6 complex	DNA synthesis and replication;DNA repair;nucleus	DNA replication;DNA repair;nucleus	PCNA;MSH2;MSH6;
ARC-L complex	protein binding;regulation by binding / dissociation;regulator of transcription factor;chromosome	protein binding;regulation of binding;protein binding;regulation of sequence-specific DNA binding transcription factor activity;chromosome	MED7;MED14;MED24;MED6;CCNC;CDK8;MED21;MED1;MED25;MED12;MED15;MED17;MED13;MED23;
MSH2-MLH1-PMS2-PCNA DNA-repair initiation complex	DNA repair;DNA binding;DNA damage response;nucleus	DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus	PCNA;MLH1;MSH2;PMS2;
MSH2-MLH1-PMS2 DNA-repair initiation complex	DNA repair;DNA binding;nucleus	DNA repair;DNA binding;nucleus	MLH1;MSH2;PMS2;
